country,dataset,entity,name,label,typeName,tema,subtema
peru,CP2017PER,PERSONA,C5P292,Pm12a+: Su último hijo nacido vivo  - Año,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P5,P: ¿Vive permanentemente en este distrito?,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P5BCOD,P: Departamento donde vive permanentemente,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P5DI,P: Distrito o país donde vive permanentemente,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P5PV,P: Provincia o continente donde vive permanentemente,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P6,P: ¿Hace 5 años vivía en este distrito?,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P6BCOD,P: Departamento donde vivía hace 5 años,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P6DI,P: Distrito o país donde vivía hace 5 años,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P6PV,P: Provincia o continente donde vivía hace 5 años,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P7,P: Cuándo ud nació ¿Vivía su madre en este distrito?,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P7BCOD,P: Departamento donde vivía su madre,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P7DI,P: Distrito o país donde vivía su madre,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P7PV,P: Provincia o continente donde vivía su madre,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,C2P1,V: Tipo de vivienda,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,C2P10,V: Servicio higiénico que tiene la vivienda,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,C2P11,V: La vivienda tiene alumbrado eléctrico por red pública,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,C2P13,V: Tenencia de la vivienda - La vivienda que ocupa es:,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,C2P2,V: Condición de ocupación de la vivienda,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,ENCAREA,V: Área concepto encuesta,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,TOTELD,V: Indicador de vivienda con adulto mayor,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,VAREA,V: Área concepto censal,integer,vivienda,vivienda_general
